Time, Pellets, Tension, Position, Distance, Reward
0.3333333, 42, 0, (0 0.45 0), 0.6, 0
1.016667, 42, 0, (0.01 0.45 0), 0.61, -340.2375
2.016667, 41, 0, (0.1699999 0.45 0), 0.6199999, -521.4132
3.016667, 39, 0, (0.159312 0.4325926 0), 0.8519046, -520.614
4.016667, 37, 0, (0.15 0.2486292 0), 0.9386289, -541.2695
5.016667, 35, 0, (0.15 0.09196264 0), 1.108419, -731.5797
6.016667, 33, 0, (0.15 0.008629311 0), 0.7350861, -1045.094
7.016667, 31, 0, (0.1880403 6.800699E-07 0), 0.4444977, -1336.525
8.016666, 29, 0, (0.1500074 0.01000284 0), 0.4135388, -1528.101
9.016666, 27, 0, (0.15 0.006669492 0), 0.4766695, -1708.502
10.01667, 26, 0, (0.1788481 0.002187955 0), 0.3833399, -2019.149
11.01667, 25, 0, (0.2620394 0 0), 0.5979605, -2228.312
12.01667, 24, 0, (0.4120393 0 0), 0.5079606, -2604.821
13.01667, 24, 0, (0.45 -0.001687113 0), 0.3283129, -2714.503
14.01667, 24, 0, (0.45 -0.05502044 0), 0.5249794, -2764.896
15.01667, 24, 0, (0.45 -0.1350204 0), 0.2549795, -2876.195
16.01667, 24, 0, (0.45 -0.2050203 0), 0.3049795, -2973.485
17.01667, 24, 0, (0.4450907 -0.2710636 0), 0.564027, -3202.778
18.01667, 24, 0, (0.45 -0.2737101 0), 0.3762898, -3393.171
19.01667, 24, 0, (0.45 -0.3103768 0), 0.1303766, -3550.461
20.01667, 42, 0, (0.02140443 0.4497363 0), 0.6211407, -394.4302
21.01667, 41, 0, (0.08473981 0.45 0), 0.8347398, -736.4896
22.01667, 41, 0, (0.1500551 0.4393699 0), 0.8894249, -812.9361
23.01667, 41, 0, (0.15 0.1927034 0), 0.4527034, -891.569
24.01667, 40, 0, (0.1354289 0.002988809 0), 0.1384177, -988.7039
25.01667, 42, 0, (0.04054774 0.449974 0), 0.6405218, -223.1413
26.01667, 42, 0, (0.1477588 0.4297869 0), 0.7275457, -496.1
27.01667, 41, 0, (0.1611333 0.4445101 0), 0.9056434, -600.0592
28.01667, 39, 0, (0.15 0.1809191 0), 0.5609192, -608.8338
29.01667, 38, 0, (0.1519034 0.00268989 0), 0.6007864, -672.1042
30.01667, 38, 0, (0.217543 2.527125E-06 0), 0.4175455, -879.215
31.01667, 37, 0, (0.3908761 0 0), 0.8508762, -1175.92
32.01667, 37, 0, (0.449747 -0.007275614 0), 0.6224715, -1160.516
33.01667, 37, 0, (0.45 -0.05060703 0), 0.849393, -1363.255
34.01667, 35, 0, (0.45 -0.1039403 0), 1.14606, -1442.989
35.01667, 32, 0, (0.45 -0.1639403 0), 1.360102, -1549.083
36.01667, 31, 0, (0.45 -0.2306069 0), 1.053435, -1710.192
37.01667, 31, 0, (0.45 -0.2839402 0), 1.220102, -1747.831
38.01667, 31, 0, (0.4498304 -0.2824015 0), 1.361471, -2036.201
39.01667, 31, 0, (0.45 -0.4044651 0), 1.239577, -2266.079
40.01667, 31, 0, (0.4247979 -0.3000647 0), 1.318775, -2431.181
41.01667, 31, 0, (0.45 -0.4418197 0), 1.067778, -2460.105
42.01667, 31, 0, (0.45 -0.4818197 0), 1.13182, -2503.442
43.01667, 31, 0, (0.45 -0.5918196 0), 0.98182, -2859.153
44.01667, 31, 0, (0.4417305 -0.5997249 0), 0.7614554, -3321.194
45.01667, 30, 0, (0.44278 -0.5984941 0), 0.9612741, -3571.163
46.01667, 30, 0, (0.45 -0.5032092 0), 0.7032092, -3778.379
47.01667, 30, 0, (0.45 -0.5632092 0), 1.003209, -4219.629
48.01667, 30, 0, (0.4460026 -0.5817268 0), 0.7277294, -4455.62
49.01667, 30, 0, (0.4427415 -0.5916668 0), 0.4444083, -4839.405
50.01667, 30, 0, (0.4496944 -0.5917441 0), 0.7314384, -5072.675
51.01667, 30, 0, (0.4243656 -0.5989991 0), 1.063365, -5289.834
52.01667, 30, 0, (0.4496859 -0.5920143 0), 1.2917, -5684.119
53.01667, 30, 0, (0.45 -0.5386838 0), 1.071316, -5983.295
54.01667, 30, 0, (0.45 -0.5986838 0), 1.418684, -6267.91
55.01667, 29, 0, (0.3700511 -0.6 0), 1.490051, -6554.286
56.01667, 29, 0, (0.4321755 -0.59991 0), 1.282086, -6898.015
57.01667, 29, 0, (0.4188424 -0.6 0), 1.008843, -7140.591
58.01667, 29, 0, (0.3888424 -0.6 0), 0.7388427, -7436.577
59.01667, 29, 0, (0.3888424 -0.6 0), 0.9552988, -7761.135
60.01667, 27, 0, (0.45 -0.4933736 0), 1.11983, -8090.395
61.01667, 25, 0, (0.45 -0.4033737 0), 1.35983, -8215.145
62.01667, 25, 0, (0.4410535 -0.5977114 0), 1.305221, -8401.453
63.01667, 25, 0, (0.4478427 -0.5888215 0), 0.9879122, -8442.217
64.01667, 25, 0, (0.45 -0.594476 0), 0.7457239, -8574.504
65.01667, 25, 0, (0.4499449 -0.5828362 0), 0.9527811, -8882.834
66.01667, 25, 0, (0.4413462 -0.5997717 0), 1.291118, -9350.931
67.01667, 25, 0, (0.4412558 -0.596919 0), 1.534631, -9815.62
68.01667, 25, 0, (0.4412959 -0.5968652 0), 1.254618, -10228.47
69.01667, 25, 0, (0.45 -0.5933759 0), 0.9446239, -10433.72
70.01667, 25, 0, (0.4410529 -0.5977125 0), 0.5548385, -10939.85
71.01667, 25, 0, (0.4409569 -0.5986086 0), 0.3015785, -11149.91
72.01667, 25, 0, (0.45 -0.4440736 0), 0.3901467, -11280.11
73.01667, 42, 0, (0.02474925 0.4498246 0), 0.6245738, -41.28905
74.01667, 42, 0, (0.04474834 0.4499846 0), 0.644733, -537.7341
75.01667, 42, 0, (0.07808166 0.45 0), 0.6780817, -1029.066
76.01667, 42, 0, (0.15 0.2672219 0), 0.5672219, -1169.651
77.01667, 42, 0, (0.15 0.2305553 0), 0.5305553, -1501.719
78.01667, 42, 0, (0.15 0.04722204 0), 0.3472221, -1571.269
79.01667, 41, 0, (0.1561801 0.009889922 0), 0.17607, -1713.436
80.01667, 41, 0, (0.1437716 2.836181E-06 0), 0.1437744, -2035.933
81.01667, 41, 0, (0.1537716 6.47689E-09 0), 0.2137716, -2438.437
82.01667, 40, 0, (0.2225005 3.422437E-06 0), 0.5225039, -2670.588
83.01667, 40, 0, (0.2725005 0 0), 0.5725005, -2980.852
84.01667, 39, 0, (0.45 -0.07514777 0), 0.5748522, -3138.947
85.01667, 37, 0, (0.4497363 -0.02189314 0), 0.2543284, -3189.34
86.01667, 40, 0, (0.02186866 0.4497636 0), 0.5856745, -324.3982
87.01667, 39, 0, (0.041867 0.4499792 0), 0.6558884, -814.3345
88.01667, 38, 0, (0.03186701 0.4499995 0), 0.5040902, -1261.773
89.01667, 35, 0, (0.15 0.2736559 0), 0.6573461, -1314.784
90.01667, 33, 0, (0.15 0.1803226 0), 0.8640128, -1382.163
