Time, Pellets, Tension, Distance, Reward
Game 0
Game 1
0, 42, 0.004431848, 6, 0
0.09999999, 42, 0.004431848, 6, -0.01937767
0.1507838, 41, 0.004431848, 6, -0.03875535
0.2130238, 41, 0.05399097, 5, -0.05871375
0.2410484, 41, 0.05399097, 5, -0.02911302
0.2655091, 41, 0.05399097, 5, 0.0004877029
0.2920999, 41, 0.05399097, 5, 0.03008843
0.3220819, 40, 0.05399097, 5, 0.05968916
0.3437386, 40, 0.004431848, 6, 0.08868013
0.3620379, 40, 0.004431848, 6, 0.06811198
0.3804534, 40, 0.004431848, 6, 0.04754383
0.398303, 40, 0.004431848, 6, 0.02697568
0.4163653, 40, 0.004431848, 6, 0.006407528
0.4388978, 40, 0.004431848, 6, -0.01416062
0.4601855, 40, 0.004431848, 6, -0.03472878
0.4770413, 39, 0.004431848, 6, -0.05529693
0.4961814, 39, 0.05399097, 5, -0.07650611
0.5137958, 39, 0.05399097, 5, -0.04815616
0.53159, 39, 0.05399097, 5, -0.01980622
0.5511993, 39, 0.05399097, 5, 0.00854372
0.5681037, 39, 0.05399097, 5, 0.03689367
0.5905412, 39, 0.05399097, 5, 0.06524361
0.6141768, 39, 0.05399097, 5, 0.09359355
0.6344824, 38, 0.05399097, 5, 0.1219435
0.6541043, 38, 0.2419707, 4, 0.1496187
0.6722507, 38, 0.2419707, 4, 0.3652736
0.6902573, 38, 0.2419707, 4, 0.5809286
0.7093117, 38, 0.2419707, 4, 0.7965835
0.7389535, 38, 0.2419707, 4, 1.012238
0.7585191, 38, 0.2419707, 4, 1.227893
0.7804102, 37, 0.2419707, 4, 1.443548
0.7946512, 37, 0.3989423, 3, 1.658492
0.8074141, 37, 0.3989423, 3, 2.030407
0.8201969, 37, 0.3989423, 3, 2.402322
0.832055, 37, 0.3989423, 3, 2.774237
0.8460631, 37, 0.3989423, 3, 3.146152
0.8587897, 37, 0.3989423, 3, 3.518068
0.8713412, 37, 0.3989423, 3, 3.889983
0.8845901, 37, 0.3989423, 3, 4.261898
0.8972632, 36, 0.3989423, 3, 4.633813
0.9206399, 36, 0.3989423, 3, 5.004978
0.9380282, 36, 0.2419707, 2, 5.376143
0.9505935, 36, 0.2419707, 2, 5.590336
0.9641321, 36, 0.2419707, 2, 5.804529
0.976553, 36, 0.2419707, 2, 6.018722
0.9889528, 36, 0.2419707, 2, 6.232914
1.001194, 36, 0.2419707, 2, 6.447107
1.014158, 36, 0.2419707, 2, 6.6613
1.02706, 36, 0.2419707, 2, 6.875493
1.12706, 35, 0.3989423, 3, 7.089686
1.15573, 35, 0.3989423, 3, 7.460057
1.173183, 35, 0.3989423, 3, 7.830428
1.184115, 35, 0.3989423, 3, 8.200799
1.194391, 35, 0.3989423, 3, 8.57117
1.204152, 35, 0.3989423, 3, 8.941541
1.213381, 34, 0.3989423, 3, 9.311912
1.222861, 34, 0.3989423, 3, 9.681442
1.232458, 34, 0.2419707, 4, 10.05097
1.242595, 34, 0.2419707, 4, 10.26353
1.25344, 34, 0.2419707, 4, 10.47609
1.263834, 34, 0.2419707, 4, 10.68865
1.274841, 34, 0.2419707, 4, 10.90121
1.285874, 34, 0.2419707, 4, 11.11377
1.299905, 34, 0.2419707, 4, 11.32633
1.312777, 34, 0.2419707, 4, 11.53889
1.324147, 34, 0.2419707, 4, 11.75145
