Time, Pellets, Tension, Position, Distance, Reward
0.3333333, 43, 0, (0 0.45 0), 0.6, 0
1.016667, 40, 5, (-0.02333334 0.45 0), 0.5733333, 0
2.016667, 39, 56, (-0.02333333 0.45 0), 0.5492911, 0
3.016667, 39, 116, (0.03666667 0.45 0), 0.5592911, 0
4.016667, 38, 176, (0.1921877 0.449901 0), 0.5977133, 0
5.016667, 37, 206, (0.1719726 0.4496988 0), 0.5377263, 0
6.016667, 36, 260, (0.2219748 0.45 0), 0.7819747, -2
7.016667, 34, 260, (0.1819749 0.45 0), 1.051975, -2
8.016666, 33, 260, (0.1306035 0.4499854 0), 1.180589, -1
9.016666, 32, 260, (0.1339369 0.45 0), 1.033937, -2
10.01667, 32, 260, (0.1332006 0.45 0), 1.033201, -1
11.01667, 32, 260, (0.2055937 0.4499999 0), 1.105594, -1
12.01667, 32, 260, (0.2722603 0.45 0), 1.34226, -1
13.01667, 30, 260, (0.2189271 0.45 0), 1.578927, -1
14.01667, 28, 260, (0.2922603 0.45 0), 1.88226, -1
15.01667, 28, 260, (0.2322604 0.45 0), 1.75226, -1
16.01667, 28, 260, (0.1822604 0.45 0), 1.62226, -2
17.01667, 28, 260, (0.1120181 0.4483882 0), 1.760406, -1
18.01667, 28, 260, (0.1522699 0.45 0), 1.68227, -1
19.01667, 28, 260, (0.2058395 0.4499998 0), 1.455839, -2
20.01667, 28, 260, (0.0658396 0.45 0), 1.16584, -2
21.01667, 28, 260, (-0.1108271 0.45 0), 1.329173, -1
22.01667, 28, 260, (-0.03416039 0.45 0), 1.545839, -2
23.01667, 28, 260, (-0.1441603 0.45 0), 1.15584, -1
24.01667, 26, 260, (-0.1441603 0.45 0), 0.86584, -1
25.01667, 24, 260, (-0.01749371 0.45 0), 0.7574934, -1
26.01667, 24, 260, (-0.1474937 0.45 0), 0.8125067, -2
27.01667, 24, 260, (-0.1574937 0.45 0), 1.032506, -1
28.01667, 24, 260, (-0.2908269 0.45 0), 0.8911577, -1
29.01667, 24, 260, (-0.4108267 0.45 0), 0.7311578, -1
30.01667, 24, 260, (-0.5308266 0.45 0), 0.861158, -1
31.01667, 24, 260, (-0.4408267 0.45 0), 1.081158, -2
32.01667, 24, 260, (-0.3508268 0.45 0), 0.9311579, -1
33.01667, 24, 260, (-0.5908266 0.45 0), 0.4349567, -2
34.01667, 24, 260, (-0.5608266 0.45 0), 0.6908267, -1
35.01667, 21, 311, (-0.5608266 0.45 0), 0.3208267, 0
36.01667, 42, 0, (0.05333333 0.45 0), 0.6533334, -1
37.01667, 41, 11, (0.2066666 0.45 0), 0.6866665, 0
38.01667, 41, 71, (0.1661882 0.4429178 0), 0.6391059, 0
39.01667, 39, 79, (0.3114877 0.45 0), 1.031488, -1
40.01667, 36, 81, (0.3714876 0.45 0), 0.7314877, 0
41.01667, 34, 123, (0.3814876 0.45 0), 0.3674453, -1
42.01667, 32, 183, (0.3514876 0.45 0), 0.2274454, 0
43.01667, 32, 243, (0.4114876 0.45 0), 0.5674453, 0
44.01667, 30, 257, (0.2348211 0.45 0), 0.7507786, -2
45.01667, 30, 257, (0.1501194 0.4458081 0), 0.6802689, -1
46.01667, 30, 317, (0.2005211 0.45 0), 0.3964789, -1
47.01667, 30, 377, (0.340521 0.45 0), 0.2564788, -1
48.01667, 42, 0, (0.003333334 0.45 0), 0.5933333, -2
49.01667, 41, 0, (-0.00333333 0.45 0), 0.4533334, -2
50.01667, 39, 42, (0.1504727 0.4213827 0), 0.5409101, 0
51.01667, 37, 59, (0.2280479 0.45 0), 0.8559944, -2
52.01667, 35, 59, (0.2380479 0.45 0), 1.095994, -1
53.01667, 34, 59, (0.2280479 0.45 0), 1.265994, -2
54.01667, 34, 59, (0.2313812 0.45 0), 0.9926611, -1
55.01667, 34, 59, (0.441381 0.45 0), 0.4526613, -2
56.01667, 34, 69, (0.2913812 0.45 0), 0.561381, 0
57.01667, 34, 89, (0.4113811 0.45 0), 0.9554232, -1
58.01667, 33, 89, (0.2913812 0.45 0), 0.7554234, -1
59.01667, 33, 89, (0.2913812 0.45 0), 0.9154234, -1
60.01667, 33, 89, (0.3513811 0.45 0), 1.095423, -1
61.01667, 33, 89, (0.3813811 0.45 0), 1.125423, -2
62.01667, 33, 89, (0.4113811 0.45 0), 1.121381, -1
63.01667, 31, 89, (0.2047146 0.45 0), 0.8252854, -1
64.01667, 31, 89, (0.1534763 0.4497484 0), 0.8732247, -2
65.01667, 29, 89, (0.203411 0.4499999 0), 1.213411, -1
66.01667, 27, 89, (0.4100775 0.45 0), 1.700077, -1
67.01667, 27, 89, (0.4400775 0.45 0), 1.590077, -2
68.01667, 27, 89, (0.3500775 0.45 0), 1.580077, -1
69.01667, 27, 89, (0.4100775 0.45 0), 1.590077, -1
70.01667, 27, 89, (0.3100776 0.45 0), 1.450078, -1
71.01667, 26, 89, (0.3700775 0.45 0), 1.620078, -1
72.01667, 25, 89, (0.2100777 0.45 0), 1.240078, -1
73.01667, 22, 89, (0.1600777 0.45 0), 0.8400781, -2
74.01667, 22, 95, (0.2467443 0.45 0), 0.6867446, -2
75.01667, 20, 142, (0.2900776 0.45 0), 0.3660353, 0
76.01667, 18, 202, (0.3800775 0.45 0), 0.3236211, -1
77.01667, 16, 262, (0.3700775 0.45 0), 0.5836211, 0
78.01667, 14, 319, (0.133939 0.4499747 0), 0.6726656, -1
79.01667, 14, 319, (0.1501166 0.4272541 0), 0.8761225, -1
80.01667, 14, 345, (0.15 0.2439206 0), 0.4939206, -1
81.01667, 14, 405, (0.15 0.1939206 0), 0.5239207, 0
82.01667, 14, 465, (0.15 0.1939206 0), 0.4739206, 0
83.01667, 14, 525, (0.15 0.2239206 0), 0.3839206, -1
84.01667, 14, 585, (0.15 0.2705872 0), 0.5405872, -1
85.01667, 14, 608, (0.15 0.2372539 0), 0.747254, -2
86.01667, 14, 608, (0.15 0.187254 0), 0.9672539, -1
87.01667, 14, 608, (0.15 0.08392071 0), 1.13392, -2
88.01667, 14, 608, (0.1812316 0.0002469809 0), 0.8009846, -2
89.01667, 13, 608, (0.1363201 0.002726813 0), 0.8835933, -1
90.01667, 13, 608, (0.1607237 0.0002094154 0), 0.9105142, -1
91.01667, 13, 608, (0.1559725 0.005393498 0), 0.900579, -2
92.01667, 13, 608, (0.09394454 2.566658E-05 0), 0.8439189, -2
93.01667, 13, 608, (0.1677101 4.054628E-08 0), 0.9177101, -1
94.01667, 13, 608, (0.1684651 0.003794339 0), 0.9146708, -1
95.01667, 13, 608, (0.2079662 1.724912E-09 0), 0.8379661, -1
96.01667, 13, 608, (0.1979662 2.054304E-17 0), 1.049951, -2
97.01667, 13, 608, (0.145405 0.01001359 0), 0.6974036, -1
98.01667, 13, 667, (0.1562375 0.0153878 0), 0.3936101, 0
99.01667, 13, 699, (0.1470988 0.001120099 0), 0.5620363, 0
100.0167, 13, 711, (0.1724848 3.148759E-06 0), 0.8713799, -1
101.0167, 13, 711, (0.2224847 4.865543E-12 0), 0.8213767, -2
102.0167, 13, 711, (0.1824848 2.227663E-18 0), 0.8613767, -2
103.0167, 13, 711, (0.1510351 0.01172564 0), 0.904552, -1
104.0167, 11, 711, (0.1629723 0 0), 0.637028, -2
105.0167, 9, 711, (0.1419694 0.003387174 0), 0.8653563, -1
106.0167, 9, 711, (0.1404547 0.006748496 0), 0.7072031, -1
107.0167, 9, 711, (0.1074227 0 0), 0.8025775, -1
108.0167, 9, 711, (0.1419932 2.29058E-05 0), 0.7000146, -1
109.0167, 9, 770, (0.1338146 0 0), 0.4381703, 0
110.0167, 8, 830, (0.05387872 0 0), 0.5441365, 0
111.0167, 8, 890, (-0.005252594 -0.01189896 0), 0.6151668, 0
112.0167, 8, 947, (-0.06183666 -2.317386E-05 0), 0.659875, 0
113.0167, 8, 961, (-0.1551699 0 0), 0.7531852, -1
114.0167, 8, 973, (-0.01014199 -0.005441629 0), 0.6135988, 0
115.0167, 8, 1033, (-0.01227203 -1.801129E-09 0), 0.6102872, 0
116.0167, 8, 1092, (0.01749446 -0.003735893 0), 0.5842566, 0
117.0167, 8, 1152, (-0.01094761 -0.00765064 0), 0.6166134, 0
118.0167, 8, 1212, (0.131875 0.003595114 0), 0.333705, 0
119.0167, 8, 1264, (0.06225157 0 0), 0.6797333, -2
120.0167, 8, 1275, (0.1319984 0 0), 0.8699863, -1
121.0167, 8, 1275, (0.02378519 -3.932762E-07 0), 0.7578022, -2
122.0167, 8, 1275, (0.01711851 0 0), 0.7955307, -2
123.0167, 6, 1275, (0.02948461 0 0), 1.047897, -1
