Time, Pellets, Tension, Position, Distance, Reward
0.3333333, 42, 0, (0 0.45 0), 0.6, 0
1.016667, 37, 0, (0 0.45 0), 0.45, 2.177231
2.016667, 33, 0, (0.15 0.45 0), 0.3, 20.61358
3.016667, 28, 0, (0.15 0 0), 0.3, 33.53612
4.016667, 22, 0, (0.3 0 0), 0.3, 43.56624
5.016667, 16, 0, (0.45 -0.3 0), 0.75, 54.09066
6.016667, 10, 0, (0.45 -0.6 0), 1.5, 49.43254
7.016667, 6, 0, (0.3 -0.6 0), 0.6, 43.1334
8.016666, 41, 0, (0 0.45 0), 0.45, -0.05764531
9.016666, 34, 0, (0 0.45 0), 0.45, 10.39186
10.01667, 40, 0, (0 0.45 0), 0.6, 0.08605503
11.01667, 34, 0, (0 0.45 0), 0.45, 12.00581
12.01667, 37, 0, (0 0.45 0), 0.45, 2.901684
13.01667, 42, 0, (0 0.45 0), 0.6, -0.01937767
14.01667, 35, 0, (-0.15 0.45 0), 0.3, 7.890932
15.01667, 40, 0, (0 0.45 0), 0.6, 0.1283818
16.01667, 34, 0, (0 0.45 0), 0.6, 12.24931
17.15, 42, 0, (0 0.45 0), 0.6, -0.01937767
18.15, 42, 0, (0 0.3 0), 0.45, -0.01937767
19.15, 42, 0, (0 0.15 0), 0.3, -0.01937767
20.01667, 41, 0, (0 0.45 0), 0.45, 0.08013526
21.01667, 34, 0, (0 0.45 0), 0.6, 11.41845
