Time, Pellets, Tension, Position, Distance, Reward
0.3333333, 42, 0, (0 0.45 0), 0.6, 0
1.016667, 37, 0, (0 0.45 0), 0.45, 2.177231
2.016667, 33, 0, (0.15 0.45 0), 0.3, 19.16983
3.016667, 38, 0, (0 0.45 0), 0.6, 1.5116
4.016667, 42, 0, (0 0.45 0), 0.6, -0.0775107
5.016667, 35, 0, (0 0.45 0), 0.45, 8.911222
6.016667, 39, 0, (0 0.45 0), 0.75, -0.008454455
7.016667, 34, 0, (-0.3 0.45 0), 0.15, 12.84649
8.016666, 35, 0, (0.15 0.3 0), 0.6, 2.097186
9.016666, 31, 0, (0.15 0.15 0), 0.3, 13.29175
10.01667, 42, 0, (0 0.45 0), 0.6, -0.01937767
11.01667, 35, 0, (0 0.45 0), 0.45, 7.800108
12.06667, 42, 0, (0 0.45 0), 0.6, 0
13.06667, 42, 0, (0 0.3 0), 0.45, -0.01937767
14.06667, 42, 0, (0 0.15 0), 0.3, -0.01937767
15.06667, 42, 0, (0 0 0), 0.15, 0.04098521
16.01667, 36, 0, (0 0.45 0), 0.3, 6.808124
