Time, Pellets, Tension, Position, Distance, Reward
0.3333333, 42, 0, (0 0.45 0), 0.6, 0
1.016667, 37, 0, (0 0.45 0), 0.45, 2.177231
2.016667, 33, 0, (0 0.45 0), 0.15, 18.07295
3.016667, 36, 0, (0 0.45 0), 0.3, 6.788747
4.016667, 42, 0, (0 0.45 0), 0.6, -0.03875535
5.016667, 35, 0, (0 0.45 0), 0.45, 8.17048
6.016667, 39, 0, (0 0.45 0), 0.75, 0.04824543
7.016667, 34, 0, (0.15 0.3 0), 0.6, 10.35503
8.016666, 29, 0, (0.15 0.15 0), 0.45, 24.23055
9.016666, 37, 0, (0 0.45 0), 0.45, 2.921061
10.01667, 41, 0, (0 0.45 0), 0.6, -0.09688837
11.01667, 35, 0, (0 0.45 0), 0.45, 9.281592
12.01667, 41, 0, (0 0.45 0), 0.45, 0.03115686
13.01667, 34, 0, (0 0.45 0), 0.6, 11.18651
14.01667, 29, 0, (0.15 0.15 0), 0.45, 26.14703
15.01667, 38, 0, (0 0.45 0), 0.6, 0.2176703
16.01667, 41, 0, (0 0.45 0), 0.45, -0.08724604
17.01667, 34, 0, (-0.15 0.45 0), 0.3, 9.17133
18.01667, 37, 0, (-0.15 0.45 0), 0.45, 5.138297
19.01667, 41, 0, (0 0.45 0), 0.6, -0.09688837
20.01667, 35, 0, (0 0.45 0), 0.45, 9.281592
21.31667, 42, 0, (0 0.45 0), 0.6, -0.01937767
22.31667, 42, 0, (0 0.3 0), 0.45, -0.01937767
23.31667, 42, 0, (0 0.15 0), 0.3, -0.01937767
24.01667, 42, 0, (0 0.45 0), 0.6, -0.01937767
25.01667, 35, 0, (0 0.45 0), 0.45, 8.189857
