Time, Pellets, Tension, Position, Distance, Reward
0.3333333, 42, 0, (0 0.45 0), 0.6, 0
1.016667, 37, 0, (0 0.45 0), 0.45, 2.177231
2.016667, 33, 0, (0 0.45 0), 0.15, 16.81912
3.016667, 36, 0, (0.15 0.45 0), 0.45, 7.259663
4.016667, 31, 0, (0.15 0.15 0), 0.3, 18.14894
5.016667, 26, 0, (0 -0.15 0), 0.3, 31.86856
6.016667, 21, 0, (0 -0.3 0), 0.45, 41.21434
7.016667, 37, 0, (0.15 0.3 0), 0.45, 0.2419865
8.016666, 32, 0, (0.15 0 0), 0.75, 1.634798
9.016666, 28, 0, (0 0 0), 0.45, 6.834395
10.01667, 22, 0, (-0.15 0 0), 0.75, 23.39922
11.01667, 15, 0, (-0.15 0 0), 0.45, 23.5747
12.01667, 41, 0, (0 0.45 0), 0.45, -0.1168468
13.01667, 35, 0, (0.15 0.15 0), 0.9, 2.240727
14.01667, 30, 0, (0.15 0 0), 0.6, 7.458636
15.01667, 25, 0, (0 -0.15 0), 0.45, 19.36943
16.01667, 20, 0, (0 -0.3 0), 0.3, 30.02622
17.01667, 38, 0, (0 0.45 0), 0.6, 1.5116
18.01667, 33, 0, (0.15 0.45 0), 0.3, 19.17435
19.01667, 39, 0, (-0.15 0.45 0), 0.6, 1.193521
20.03333, 42, 0, (0 0.45 0), 0.6, -0.01937767
21.03333, 42, 0, (-0.3 0.45 0), 0.9, -0.08610674
22.03333, 42, 0, (-0.45 0.45 0), 1.05, -0.1528358
23.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.2242599
24.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.295684
25.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.3671081
26.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.4385322
27.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.5099563
28.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.5813805
29.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.6528047
30.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.7242289
31.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.795653
32.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.8670772
33.03333, 42, 0, (-0.6 0.45 0), 1.2, -0.9385014
34.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.009926
35.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.08135
36.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.152774
37.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.224199
38.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.295623
39.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.367047
40.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.438472
41.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.509896
42.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.581321
43.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.652745
44.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.724169
45.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.795594
46.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.867018
47.03333, 42, 0, (-0.6 0.45 0), 1.2, -1.938442
48.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.009867
49.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.081291
50.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.152715
51.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.224139
52.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.295563
53.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.366987
54.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.438411
55.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.509835
56.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.581259
57.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.652683
58.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.724107
59.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.795531
60.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.866955
61.03333, 42, 0, (-0.6 0.45 0), 1.2, -2.938379
62.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.009803
63.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.081227
64.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.152651
65.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.224075
66.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.295499
67.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.366923
68.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.438347
69.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.509771
70.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.581195
71.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.652619
72.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.724043
73.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.795467
74.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.866891
75.03333, 42, 0, (-0.6 0.45 0), 1.2, -3.938315
76.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.009739
77.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.081163
78.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.152587
79.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.224011
80.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.295435
81.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.366859
82.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.438283
83.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.509707
84.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.581131
85.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.652555
86.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.723979
87.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.795403
88.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.866827
89.03333, 42, 0, (-0.6 0.45 0), 1.2, -4.938251
90.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.009675
91.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.081099
92.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.152523
93.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.223947
94.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.295371
95.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.366795
96.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.438219
97.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.509643
98.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.581067
99.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.652491
