Time, Pellets, Tension, Position, Distance, Reward
0.3333333, 42, 0, (0 0.45 0), 0.6, 0
1.016667, 37, 0, (0 0.45 0), 0.45, 2.177231
2.016667, 42, 0, (0 0.45 0), 0.6, -0.0775107
3.016667, 42, 0, (0 0.45 0), 0.6, -0.05813302
4.016667, 35, 0, (-0.15 0.45 0), 0.3, 8.317731
5.016667, 39, 0, (0 0.45 0), 0.75, 0.04824543
6.016667, 34, 0, (0 0.45 0), 0.3, 16.00021
7.016667, 37, 0, (0 0.45 0), 0.45, 2.157854
8.016666, 41, 0, (0 0.45 0), 0.45, -0.08724604
9.016666, 34, 0, (0 0.45 0), 0.45, 10.02233
10.01667, 30, 0, (0.15 0.3 0), 0.3, 22.92997
11.01667, 41, 0, (0 0.45 0), 0.45, -0.02804459
12.01667, 34, 0, (0.15 0.45 0), 0.75, 3.077481
13.01667, 41, 0, (0 0.45 0), 0.6, -0.09688837
14.01667, 35, 0, (0 0.45 0), 0.45, 7.579517
15.01667, 40, 0, (0 0.45 0), 0.6, 0.1283818
16.01667, 34, 0, (-0.15 0.45 0), 0.45, 12.18316
17.01667, 36, 0, (-0.15 0.45 0), 0.3, 7.014816
18.01667, 42, 0, (0 0.45 0), 0.6, -0.0775107
19.01667, 35, 0, (0 0.45 0), 0.45, 8.911222
20.01667, 39, 0, (-0.15 0.45 0), 0.6, 0.1808097
21.01667, 34, 0, (-0.15 0.45 0), 0.3, 14.1674
22.01667, 36, 0, (-0.15 0.45 0), 0.3, 7.014816
23.01667, 41, 0, (0 0.45 0), 0.6, -0.09688837
24.01667, 35, 0, (-0.15 0.45 0), 0.3, 7.368854
25.01667, 41, 0, (0 0.45 0), 0.45, 0.03115686
26.01667, 34, 0, (0.15 0.3 0), 0.9, 4.973224
27.01667, 29, 0, (0.15 0 0), 0.6, 13.55094
28.01667, 25, 0, (0 -0.15 0), 0.45, 24.27287
29.01667, 19, 0, (0 0 0), 0.45, 39.73553
30.01667, 12, 0, (0 0 0), 0.75, 44.48649
31.01667, 10, 0, (0 -0.15 0), 0.75, 40.80066
32.01667, 3, 0, (0 -0.3 0), 0.45, 30.71511
33.01667, 38, 0, (-0.15 0.45 0), 0.45, 2.852978
34.26667, 42, 0, (-0.15 0.45 0), 0.75, -0.04305337
35.26667, 42, 0, (-0.3 0.45 0), 0.9, -0.1054844
36.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.1766438
37.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.2480679
38.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.319492
39.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.3909161
40.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.4623402
41.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.5337644
42.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.6051885
43.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.6766127
44.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.7480369
45.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.8194611
46.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.8908853
47.26667, 42, 0, (-0.6 0.45 0), 1.2, -0.9623095
48.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.033734
49.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.105158
50.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.176582
51.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.248007
52.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.319431
53.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.390856
54.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.46228
55.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.533704
56.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.605129
57.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.676553
58.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.747977
59.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.819402
60.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.890826
61.26667, 42, 0, (-0.6 0.45 0), 1.2, -1.96225
62.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.033675
63.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.105099
64.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.176523
65.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.247947
66.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.319371
67.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.390795
68.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.462219
69.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.533643
70.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.605067
71.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.676491
72.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.747915
73.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.819339
74.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.890763
75.26667, 42, 0, (-0.6 0.45 0), 1.2, -2.962187
76.26667, 42, 0, (-0.6 0.45 0), 1.2, -3.033611
77.26667, 42, 0, (-0.6 0.45 0), 1.2, -3.105035
78.26667, 42, 0, (-0.6 0.45 0), 1.2, -3.176459
79.26667, 42, 0, (-0.6 0.45 0), 1.2, -3.247883
80.26667, 42, 0, (-0.6 0.45 0), 1.2, -3.319307
