Time, Pellets, Tension, Position, Distance, Reward
0.3333333, 42, 0, (0 0.45 0), 0.6, 0
1.016667, 37, 0, (0 0.45 0), 0.45, 2.177231
2.016667, 41, 0, (0 0.45 0), 0.45, -0.1168468
3.016667, 35, 0, (-0.15 0.45 0), 0.3, 8.867107
4.016667, 38, 0, (-0.15 0.45 0), 0.45, 2.872355
5.016667, 42, 0, (0 0.45 0), 0.6, -0.0775107
6.016667, 35, 0, (-0.15 0.45 0), 0.3, 8.531131
7.016667, 40, 0, (-0.15 0.45 0), 0.45, 0.1246593
8.016666, 34, 0, (-0.15 0.45 0), 0.3, 13.55991
9.016666, 37, 0, (0.3 0.45 0), 0.75, 0.1191219
10.01667, 33, 0, (0.45 0.45 0), 0.6, 3.068625
11.15, 41, 0, (0 0.45 0), 0.6, 0.3751328
12.15, 41, 0, (0.3 0.45 0), 0.9, 0.4143758
13.15, 41, 0, (0.45 0.45 0), 1.05, 0.3459046
14.15, 41, 0, (0.45 0.45 0), 1.05, 0.2731353
15.15, 41, 0, (0.45 0.45 0), 1.05, 0.2003661
16.15, 41, 0, (0.45 0.45 0), 1.05, 0.1275968
17.15, 41, 0, (0.45 0.45 0), 1.05, 0.05482756
18.15, 41, 0, (0.45 0.45 0), 1.05, -0.01794167
19.15, 41, 0, (0.45 0.45 0), 1.05, -0.09071092
20.15, 41, 0, (0.45 0.45 0), 1.05, -0.1634802
21.15, 41, 0, (0.45 0.45 0), 1.05, -0.2362494
22.15, 41, 0, (0.45 0.45 0), 1.05, -0.3090187
23.15, 41, 0, (0.45 0.45 0), 1.05, -0.3817879
24.15, 41, 0, (0.45 0.45 0), 1.05, -0.4545571
25.15, 41, 0, (0.45 0.45 0), 1.05, -0.5273263
26.15, 41, 0, (0.45 0.45 0), 1.05, -0.6000956
27.15, 41, 0, (0.45 0.45 0), 1.05, -0.6728648
28.15, 41, 0, (0.45 0.45 0), 1.05, -0.745634
29.15, 41, 0, (0.45 0.45 0), 1.05, -0.8184032
30.15, 41, 0, (0.45 0.45 0), 1.05, -0.8911725
31.15, 41, 0, (0.45 0.45 0), 1.05, -0.9639417
32.15, 41, 0, (0.45 0.45 0), 1.05, -1.036711
33.15, 41, 0, (0.45 0.45 0), 1.05, -1.10948
34.15, 41, 0, (0.45 0.45 0), 1.05, -1.182249
35.15, 41, 0, (0.45 0.45 0), 1.05, -1.255018
36.15, 41, 0, (0.45 0.45 0), 1.05, -1.327787
37.15, 41, 0, (0.45 0.45 0), 1.05, -1.400556
38.15, 41, 0, (0.45 0.45 0), 1.05, -1.473325
39.15, 41, 0, (0.45 0.45 0), 1.05, -1.546094
40.15, 41, 0, (0.45 0.45 0), 1.05, -1.618863
41.15, 41, 0, (0.45 0.45 0), 1.05, -1.691632
42.15, 41, 0, (0.45 0.45 0), 1.05, -1.764401
43.15, 41, 0, (0.45 0.45 0), 1.05, -1.83717
44.15, 41, 0, (0.45 0.45 0), 1.05, -1.909939
45.15, 41, 0, (0.45 0.45 0), 1.05, -1.982708
46.15, 41, 0, (0.45 0.45 0), 1.05, -2.055478
47.15, 41, 0, (0.45 0.45 0), 1.05, -2.128247
48.15, 41, 0, (0.45 0.45 0), 1.05, -2.201017
49.15, 41, 0, (0.45 0.45 0), 1.05, -2.273786
50.15, 41, 0, (0.45 0.45 0), 1.05, -2.346555
51.15, 41, 0, (0.45 0.45 0), 1.05, -2.419325
52.15, 41, 0, (0.45 0.45 0), 1.05, -2.492094
53.15, 41, 0, (0.45 0.45 0), 1.05, -2.564864
54.15, 41, 0, (0.45 0.45 0), 1.05, -2.637633
55.15, 41, 0, (0.45 0.45 0), 1.05, -2.710402
56.15, 41, 0, (0.45 0.45 0), 1.05, -2.783172
57.15, 41, 0, (0.45 0.45 0), 1.05, -2.855941
58.15, 41, 0, (0.45 0.45 0), 1.05, -2.928711
59.15, 41, 0, (0.45 0.45 0), 1.05, -3.00148
60.15, 41, 0, (0.45 0.45 0), 1.05, -3.07425
61.15, 41, 0, (0.45 0.45 0), 1.05, -3.147019
62.15, 41, 0, (0.45 0.45 0), 1.05, -3.219788
63.15, 41, 0, (0.45 0.45 0), 1.05, -3.292558
64.15, 41, 0, (0.45 0.45 0), 1.05, -3.365327
65.15, 41, 0, (0.45 0.45 0), 1.05, -3.438097
66.15, 41, 0, (0.45 0.45 0), 1.05, -3.510866
